;;;;;;;W;X;Y;Z;;;;;;;;;;;;;;;;;;
0,202123165;0,066070052;-0,055764709;0,011382302;0,996190488;;1;0,07;-0,06;0,01;1,00;;-0,9851;-0,1330;-0,1097;0,1304;-0,9848;0,0301;-0,1127;0,0153;0,9998;;-0,10967;0,03009;0,99977;1,00621;-0,10899;0,02990;0,99359
0,203087807;0,066451554;-0,055440922;0,011706312;0,99617943;;1;0,07;-0,06;0,01;1,00;;-0,9851;-0,1338;-0,1088;0,1312;-0,9848;0,0307;-0,1119;0,0159;0,9998;;-0,10882;0,03068;0,99977;1,00614;-0,10816;0,03049;0,99367
0,204088211;0,066662855;-0,055215941;0,011919545;0,99617528;;1;0,07;-0,06;0,01;1,00;;-0,9851;-0,1342;-0,1084;0,1316;-0,9848;0,0311;-0,1116;0,0163;0,9998;;-0,10839;0,03107;0,99977;1,00611;-0,10774;0,03088;0,99370
0,205118179;0,066854263;-0,055000939;0,012120989;0,996171916;;1;0,07;-0,06;0,01;1,00;;-0,9851;-0,1346;-0,1080;0,1320;-0,9848;0,0315;-0,1112;0,0167;0,9998;;-0,10796;0,03147;0,99977;1,00607;-0,10731;0,03128;0,99373
0,206175566;-0,090307832;0,102704767;0,975612633;0,171686393;;1;-0,09;0,10;0,98;0,17;;-0,9626;0,2314;-0,1409;0,1694;0,9410;0,3536;0,2115;0,3165;-0,9036;;-0,14093;0,35357;-0,90361;0,98050;-0,14373;0,36060;-0,92158
0,207192183;-0,090739688;0,11956734;0,987530391;0,047473005;;1;-0,09;0,12;0,99;0,05;;-0,9549;0,2448;-0,1678;0,2276;0,9954;0,1155;0,1905;0,0721;-0,9504;;-0,16777;0,11551;-0,95037;0,97195;-0,17261;0,11884;-0,97779
0,208192348;-0,099518924;0,114363258;0,988121031;0,025176535;;1;-0,10;0,11;0,99;0,03;;-0,9540;0,2311;-0,1909;0,2211;0,9987;0,0726;0,2024;0,0270;-0,9527;;-0,19087;0,07257;-0,95272;0,97436;-0,19589;0,07448;-0,97779
0,209192276;-0,106181238;0,109251987;0,98817445;0,017343719;;1;-0,11;0,11;0,99;0,02;;-0,9536;0,2197;-0,2061;0,2123;0,9995;0,0574;0,2137;0,0110;-0,9530;;-0,20611;0,05741;-0,95302;0,97674;-0,21102;0,05877;-0,97571
0,210218906;-0,110259564;0,106000996;0,988142384;0,013462774;;1;-0,11;0,11;0,99;0,01;;-0,9531;0,2125;-0,2151;0,2065;0,9996;0,0501;0,2208;0,0033;-0,9528;;-0,21511;0,05006;-0,95276;0,97802;-0,21995;0,05119;-0,97417
0,211248159;0,096525618;-0,115762921;0,166751521;0,974410428;;1;0,10;-0,12;0,17;0,97;;-0,9546;-0,2267;-0,1935;0,1494;-0,8989;0,3474;-0,2579;0,3027;0,9444;;-0,19348;0,34741;0,94436;1,02466;-0,18882;0,33905;0,92163
0,212253571;0,124853045;-0,116021537;0,047409983;0,984227115;;1;0,12;-0,12;0,05;0,98;;-0,9418;-0,2568;-0,2165;0,2349;-0,9373;0,1223;-0,2402;0,0643;0,9955;;-0,21649;0,12228;0,99546;1,02604;-0,21100;0,11918;0,97019
0,213252783;0,129405117;-0,114131148;0,035131789;0,984375007;;1;0,13;-0,11;0,04;0,98;;-0,9405;-0,2628;-0,2156;0,2468;-0,9380;0,0986;-0,2337;0,0396;0,9976;;-0,21556;0,09863;0,99757;1,02535;-0,21023;0,09620;0,97291
0,214253187;0,130348549;-0,113430435;0,033916804;0,984374137;;1;0,13;-0,11;0,03;0,98;;-0,9404;-0,2642;-0,2144;0,2488;-0,9381;0,0963;-0,2321;0,0372;0,9977;;-0,21443;0,09629;0,99773;1,02505;-0,20919;0,09394;0,97335
0,215283394;0,13061535;-0,113154628;0,03391281;0,984370653;;1;0,13;-0,11;0,03;0,98;;-0,9403;-0,2648;-0,2140;0,2495;-0,9380;0,0963;-0,2317;0,0372;0,9978;;-0,21401;0,09631;0,99776;1,02499;-0,20879;0,09396;0,97344
0,216280699;0,155335035;-0,133261838;0,040137995;0,978008819;;1;0,16;-0,13;0,04;0,98;;-0,9162;-0,3145;-0,2483;0,2931;-0,9130;0,1198;-0,2732;0,0370;0,9968;;-0,24828;0,11984;0,99676;1,03419;-0,24007;0,11588;0,96381
0,217254162;0,160788933;-0,132965954;0,043452992;0,977025492;;1;0,16;-0,13;0,04;0,98;;-0,9129;-0,3258;-0,2459;0,3026;-0,9091;0,1278;-0,2739;0,0422;0,9962;;-0,24589;0,12777;0,99618;1,03401;-0,23781;0,12357;0,96342
0,218253374;0,162152991;-0,132049282;0,044627897;0,976871407;;1;0,16;-0,13;0,04;0,98;;-0,9126;-0,3287;-0,2434;0,3051;-0,9086;0,1300;-0,2724;0,0443;0,9961;;-0,24343;0,12996;0,99608;1,03360;-0,23552;0,12574;0,96370
0,219252825;0,162533353;-0,131654302;0,045012708;0,976843851;;1;0,16;-0,13;0,05;0,98;;-0,9124;-0,3293;-0,2427;0,3056;-0,9084;0,1307;-0,2719;0,0451;0,9959;;-0,24266;0,13071;0,99586;1,03330;-0,23484;0,12650;0,96377
0,220243692;0,162698175;-0,131444876;0,045195163;0,976836192;;1;0,16;-0,13;0,05;0,98;;-0,9124;-0,3297;-0,2420;0,3060;-0,9084;0,1311;-0,2714;0,0455;0,9958;;-0,24199;0,13106;0,99583;1,03316;-0,23423;0,12685;0,96387
0,221842766;0,162816497;-0,131284573;0,045330231;0,976831776;;2;0,16;-0,13;0,05;0,98;;-0,9124;-0,3299;-0,2418;0,3062;-0,9083;0,1312;-0,2713;0,0457;0,9958;;-0,24176;0,13125;0,99583;1,03313;-0,23401;0,12704;0,96390
0,222832203;0,189458112;-0,159183713;0,055983501;0,967280733;;1;0,19;-0,16;0,06;0,97;;-0,8776;-0,3844;-0,2868;0,3488;-0,8713;0,1687;-0,3292;0,0480;0,9938;;-0,28676;0,16867;0,99379;1,04800;-0,27363;0,16095;0,94827
0,223831654;0,195180369;-0,159659116;0,05998397;0,965823749;;1;0,20;-0,16;0,06;0,97;;-0,8728;-0,3962;-0,2851;0,3579;-0,8656;0,1782;-0,3319;0,0535;0,9928;;-0,28505;0,17824;0,99278;1,04816;-0,27196;0,17005;0,94717
0,22483182;0,196500616;-0,158894474;0,06117754;0,965607251;;1;0,20;-0,16;0,06;0,97;;-0,8723;-0,3989;-0,2828;0,3600;-0,8648;0,1806;-0,3309;0,0557;0,9925;;-0,28282;0,18064;0,99250;1,04770;-0,26994;0,17241;0,94731
0,225831985;0,196904333;-0,158455619;0,061605948;0,965569888;;1;0,20;-0,16;0,06;0,97;;-0,8723;-0,3998;-0,2818;0,3607;-0,8647;0,1814;-0,3304;0,0565;0,9925;;-0,28184;0,18138;0,99248;1,04754;-0,26905;0,17315;0,94744
0,226831913;0,197123041;-0,158153156;0,061858054;0,965558733;;1;0,20;-0,16;0,06;0,97;;-0,8723;-0,4002;-0,2811;0,3611;-0,8647;0,1819;-0,3299;0,0572;0,9924;;-0,28111;0,18190;0,99243;1,04739;-0,26840;0,17367;0,94752
0,227831602;0,213096869;-0,187768784;0,07605068;0,955797522;;1;0,21;-0,19;0,08;0,96;;-0,8387;-0,4359;-0,3266;0,3788;-0,8271;0,2255;-0,3914;0,0654;0,9884;;-0,32656;0,22551;0,98844;1,06514;-0,30659;0,21172;0,92799
0,229405403;0,216538683;-0,189626303;0,079520208;0,954373826;;1;0,22;-0,19;0,08;0,95;;-0,8344;-0,4434;-0,3275;0,3831;-0,8217;0,2338;-0,3963;0,0697;0,9874;;-0,32748;0,23385;0,98738;1,06623;-0,30714;0,21932;0,92605
0,230405092;0,217489591;-0,189103473;0,080568345;0,95417341;;1;0,22;-0,19;0,08;0,95;;-0,8339;-0,4456;-0,3258;0,3846;-0,8209;0,2361;-0,3959;0,0716;0,9871;;-0,32582;0,23608;0,98707;1,06592;-0,30567;0,22148;0,92602
0,231404781;0,217780932;-0,188776504;0,080903863;0,954143313;;1;0,22;-0,19;0,08;0,95;;-0,8338;-0,4462;-0,3250;0,3851;-0,8207;0,2366;-0,3955;0,0721;0,9868;;-0,32503;0,23661;0,98684;1,06559;-0,30502;0,22205;0,92610
0,232404947;0,217936781;-0,188549991;0,081087796;0,954136903;;1;0,22;-0,19;0,08;0,95;;-0,8339;-0,4464;-0,3244;0,3852;-0,8207;0,2369;-0,3950;0,0726;0,9867;;-0,32435;0,23690;0,98674;1,06536;-0,30445;0,22237;0,92621
0,233932734;0,230036658;-0,20246162;0,088768798;0,94774075;;2;0,23;-0,20;0,09;0,95;;-0,8121;-0,4719;-0,3430;0,4000;-0,7963;0,2615;-0,4247;0,0752;0,9842;;-0,34297;0,26146;0,98416;1,07450;-0,31919;0,24333;0,91592
0,23492074;0,232941643;-0,202212493;0,091349464;0,946838726;;1;0,23;-0,20;0,09;0,95;;-0,8096;-0,4779;-0,3404;0,4041;-0,7930;0,2671;-0,4254;0,0787;0,9832;;-0,34036;0,26707;0,98322;1,07420;-0,31685;0,24862;0,91531
0,235921621;0,233575541;-0,201778277;0,091990271;0,946713148;;1;0,23;-0,20;0,09;0,95;;-0,8094;-0,4794;-0,3391;0,4052;-0,7925;0,2685;-0,4251;0,0799;0,9831;;-0,33911;0,26847;0,98307;1,07401;-0,31574;0,24997;0,91533
